Review,Sentiment,Score
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
The service was terrible,Negative,-3
I love this phone,Positive,3
This is the worst experience,Negative,-2
The product quality is excellent,Positive,3
This product has an error,Negative,-2
Good product and great support,Positive,3
Bad packaging but amazing performance,Positive,1
This product is amazing,Positive,2
